,totals,symbol,tf,variation,netprofit,profit_percent(%),MDD(%),win trades,loss trades,winrate,W.Avg,W.Max,L.Avg,L.Max,GrossProfit,GrossLoss,ProfitFactor
0,0,BTCBUSDPerp,5,1,-690.43,-0.69,0.69,364,805,31.14,2.17,23.07,1.84,15.28,790.09,1480.53,0.53
0,1,BTCBUSDPerp,15,1,-493.43,-0.49,0.5,386,682,36.14,6.06,52.87,4.16,33.16,2340.4,2833.82,0.83
0,2,BTCBUSDPerp,30,1,-705.95,-0.71,0.81,248,494,33.42,11.81,44.85,7.36,30.58,2929.79,3635.74,0.81
0,3,BTCBUSDPerp,60,1,-925.58,-0.93,1.01,116,266,30.37,17.67,57.25,11.19,70.53,2050.05,2975.63,0.69
0,4,BTCBUSDPerp,120,1,86.33,0.09,0.36,59,108,35.33,30.45,116.46,15.84,132.99,1796.62,1710.29,1.05
0,5,BTCBUSDPerp,240,1,-92.66,-0.09,0.28,24,48,33.33,36.23,113.07,20.04,118.09,869.45,962.11,0.9
0,6,BTCBUSDPerp,360,1,-302.5,-0.3,0.44,17,35,32.69,43.34,96.37,29.7,76.83,736.85,1039.35,0.71
0,7,ETHBUSDPerp,5,1,-959.24,-0.96,0.97,363,872,29.39,3.12,18.93,2.4,26.92,1133.43,2092.67,0.54
0,8,ETHBUSDPerp,15,1,-445.79,-0.45,0.45,360,668,35.02,8.58,47.1,5.29,36.26,3087.35,3533.14,0.87
0,9,ETHBUSDPerp,30,1,-591.13,-0.59,0.62,199,394,33.56,13.39,40.92,8.26,62.88,2665.02,3256.14,0.82
0,10,ETHBUSDPerp,60,1,-21.04,-0.02,0.43,98,193,33.68,23.62,82.14,12.1,56.96,2315.05,2336.09,0.99
0,11,ETHBUSDPerp,120,1,-47.75,-0.05,0.37,45,99,31.25,38.62,107.77,18.04,68.26,1738.08,1785.83,0.97
0,12,ETHBUSDPerp,240,1,116.28,0.12,0.28,22,36,37.93,53.42,95.64,29.41,72.13,1175.2,1058.92,1.11
0,13,ETHBUSDPerp,360,1,181.2,0.18,0.19,16,14,53.33,46.92,139.39,40.68,78.76,750.72,569.52,1.32
0,14,BNBBUSDPerp,5,1,-850.66,-0.85,0.86,355,777,31.36,2.82,11.65,2.38,23.17,1001.91,1852.57,0.54
0,15,BNBBUSDPerp,15,1,-662.22,-0.66,0.71,351,712,33.02,8.07,48.08,4.91,21.59,2832.21,3494.42,0.81
0,16,BNBBUSDPerp,30,1,-491.53,-0.49,0.64,195,368,34.64,12.1,55.12,7.75,55.76,2360.08,2851.61,0.83
0,17,BNBBUSDPerp,60,1,-523.08,-0.52,0.54,92,191,32.51,17.53,61.65,11.18,72.75,1613.09,2136.16,0.76
0,18,BNBBUSDPerp,120,1,74.13,0.07,0.29,49,77,38.89,28.94,64.91,17.45,58.81,1418.04,1343.91,1.06
0,19,BNBBUSDPerp,240,1,-239.2,-0.24,0.41,12,34,26.09,41.75,90.69,21.77,48.46,501.05,740.25,0.68
0,20,BNBBUSDPerp,360,1,-381.75,-0.38,0.55,10,31,24.39,43.74,88.49,26.42,97.92,437.37,819.12,0.53
0,21,ADABUSDPerp,5,1,-608.92,-0.61,0.61,338,697,32.66,4.11,29.57,2.87,15.79,1389.29,1998.22,0.7
0,22,ADABUSDPerp,15,1,-626.99,-0.63,0.65,350,652,34.93,10.07,42.43,6.37,46.27,3524.41,4151.4,0.85
0,23,ADABUSDPerp,30,1,-738.81,-0.74,0.78,183,340,34.99,14.64,61.17,10.05,62.72,2678.79,3417.6,0.78
0,24,ADABUSDPerp,60,1,-394.07,-0.39,0.63,97,167,36.74,21.78,73.98,15.01,59.85,2112.6,2506.66,0.84
0,25,ADABUSDPerp,120,1,-81.09,-0.08,0.51,41,74,35.65,33.31,86.07,19.55,61.49,1365.52,1446.61,0.94
0,26,ADABUSDPerp,240,1,-468.44,-0.47,0.78,15,40,27.27,57.81,163.18,33.39,105.49,867.12,1335.57,0.65
0,27,ADABUSDPerp,360,1,92.89,0.09,0.39,12,14,46.15,62.75,133.1,47.15,149.07,753.05,660.16,1.14
0,28,XRPBUSDPerp,5,1,-747.73,-0.75,0.82,337,670,33.47,4.5,29.04,3.38,18.93,1517.29,2265.03,0.67
0,29,XRPBUSDPerp,15,1,-1129.41,-1.13,1.13,326,665,32.9,8.91,35.39,6.07,39.39,2903.84,4033.25,0.72
0,30,XRPBUSDPerp,30,1,-668.49,-0.67,0.76,189,356,34.68,14.36,47.58,9.5,52.54,2714.9,3383.39,0.8
0,31,XRPBUSDPerp,60,1,-858.09,-0.86,0.87,82,184,30.83,20.91,95.61,13.98,173.57,1714.29,2572.39,0.67
0,32,XRPBUSDPerp,120,1,-397.19,-0.4,0.5,41,80,33.88,29.88,125.81,20.28,60.78,1224.96,1622.15,0.76
0,33,XRPBUSDPerp,240,1,65.63,0.07,0.32,18,30,37.5,45.71,117.0,25.24,58.02,822.79,757.16,1.09
0,34,XRPBUSDPerp,360,1,-177.35,-0.18,0.3,13,23,36.11,46.79,92.66,34.16,84.88,608.23,785.58,0.77
0,35,LDOBUSDPerp,5,1,-897.87,-0.9,0.91,375,704,34.75,7.94,63.04,5.5,50.5,2977.56,3875.43,0.77
0,36,LDOBUSDPerp,15,1,-276.27,-0.28,0.59,163,286,36.3,16.64,113.23,10.45,55.57,2712.59,2988.86,0.91
0,37,LDOBUSDPerp,30,1,-55.19,-0.06,0.35,80,150,34.78,25.41,82.39,13.92,58.85,2032.64,2087.83,0.97
0,38,LDOBUSDPerp,60,1,246.63,0.25,0.3,40,74,35.09,40.95,183.02,18.8,50.8,1638.02,1391.39,1.18
0,39,LDOBUSDPerp,120,1,295.78,0.3,0.17,24,30,44.44,49.36,131.22,29.63,100.41,1184.54,888.76,1.33
0,40,LDOBUSDPerp,240,1,326.95,0.33,0.21,12,18,40.0,85.79,154.21,39.03,81.52,1029.48,702.52,1.47
0,41,LDOBUSDPerp,360,1,-25.63,-0.03,0.29,5,10,33.33,90.73,161.36,47.93,110.15,453.65,479.28,0.95
0,42,SOLBUSDPerp,5,1,-1143.09,-1.14,1.14,333,775,30.05,5.91,73.87,4.01,40.59,1967.09,3110.19,0.63
0,43,SOLBUSDPerp,15,1,-737.25,-0.74,0.9,331,655,33.57,13.64,85.97,8.02,60.95,4515.93,5253.18,0.86
0,44,SOLBUSDPerp,30,1,-417.96,-0.42,0.57,169,345,32.88,22.49,110.97,12.23,105.78,3800.21,4218.17,0.9
0,45,SOLBUSDPerp,60,1,-795.26,-0.8,0.83,80,160,33.33,27.72,85.2,18.83,71.74,2217.2,3012.46,0.74
0,46,SOLBUSDPerp,120,1,-513.33,-0.51,0.66,31,75,29.25,42.34,77.28,24.34,90.06,1312.46,1825.79,0.72
0,47,SOLBUSDPerp,240,1,-318.14,-0.32,0.56,18,34,34.62,47.2,124.08,34.35,89.89,849.61,1167.75,0.73
0,48,SOLBUSDPerp,360,1,-300.88,-0.3,0.56,6,23,20.69,107.78,210.26,41.2,82.12,646.67,947.55,0.68
0,49,MATICBUSDPerp,5,1,-761.5,-0.76,0.77,357,736,32.66,5.15,35.86,3.53,23.07,1839.72,2601.22,0.71
0,50,MATICBUSDPerp,15,1,-181.87,-0.18,0.37,175,344,33.72,11.52,41.41,6.39,28.23,2015.96,2197.83,0.92
0,51,MATICBUSDPerp,30,1,-354.89,-0.35,0.58,83,177,31.92,16.87,63.7,9.91,61.2,1399.89,1754.78,0.8
0,52,MATICBUSDPerp,60,1,-345.68,-0.35,0.41,36,88,29.03,24.05,97.18,13.77,57.91,865.8,1211.49,0.71
0,53,MATICBUSDPerp,120,1,-180.08,-0.18,0.4,18,42,30.0,31.59,92.92,17.82,45.16,568.54,748.63,0.76
0,54,MATICBUSDPerp,240,1,54.8,0.05,0.24,9,18,33.33,60.91,114.38,27.41,65.0,548.17,493.37,1.11
0,55,MATICBUSDPerp,360,1,642.17,0.64,0.13,11,12,47.83,100.35,236.78,38.47,119.35,1103.84,461.67,2.39
0,56,DOGEBUSDPerp,5,1,-764.41,-0.76,0.78,364,755,32.53,5.79,61.42,3.8,38.82,2106.07,2870.47,0.73
0,57,DOGEBUSDPerp,15,1,-312.78,-0.31,0.52,364,652,35.83,11.95,93.35,7.15,47.43,4350.96,4663.74,0.93
0,58,DOGEBUSDPerp,30,1,-167.68,-0.17,0.34,202,327,38.19,15.92,135.17,10.35,62.01,3215.53,3383.21,0.95
0,59,DOGEBUSDPerp,60,1,-260.5,-0.26,0.62,97,157,38.19,22.17,81.65,15.36,62.85,2150.9,2411.41,0.89
0,60,DOGEBUSDPerp,120,1,-124.77,-0.12,0.54,43,81,34.68,31.61,154.24,18.32,51.93,1359.15,1483.91,0.92
0,61,DOGEBUSDPerp,240,1,270.55,0.27,0.3,20,30,40.0,59.37,351.77,30.56,98.44,1187.45,916.9,1.3
0,62,DOGEBUSDPerp,360,1,-281.3,-0.28,0.58,11,25,30.56,63.85,110.6,39.35,157.42,702.35,983.65,0.71
0,63,SANDBUSDPerp,5,1,-839.21,-0.84,0.85,335,689,32.71,5.49,36.78,3.89,24.52,1838.93,2678.14,0.69
0,64,SANDBUSDPerp,15,1,-480.77,-0.48,0.55,160,296,35.09,10.48,54.07,7.29,44.6,1676.61,2157.37,0.78
0,65,SANDBUSDPerp,30,1,-235.75,-0.24,0.38,78,140,35.78,16.32,75.73,10.77,48.81,1272.57,1508.32,0.84
0,66,SANDBUSDPerp,60,1,-151.8,-0.15,0.26,38,64,37.25,20.53,44.01,14.56,43.28,780.26,932.06,0.84
0,67,SANDBUSDPerp,120,1,-345.64,-0.35,0.44,17,39,30.36,35.65,71.9,24.4,72.0,606.13,951.77,0.64
0,68,SANDBUSDPerp,240,1,-136.45,-0.14,0.22,7,14,33.33,47.3,72.8,33.4,71.28,331.09,467.54,0.71
0,69,SANDBUSDPerp,360,1,509.33,0.51,0.11,7,8,46.67,111.28,289.86,33.71,63.77,778.98,269.64,2.89
